Re,seg_id,s,x,y,z,curvature,max_WSS,argmax_surface_pt_id
400,50,41.42981047315192,-2.711869955062866,3.8167200088500977,-12.1451997756958,0.5192220211029053,0.0377889276096363,9624
400,51,42.26037188555176,-3.047499895095825,3.896749973297119,-11.389699935913086,0.35596901178359985,0.03846841410629254,23731
400,52,43.090808990794336,-3.445889949798584,4.02810001373291,-10.67300033569336,0.21488699316978455,0.0401880596202137,4476
400,53,43.921023785259145,-3.898169994354248,4.216239929199219,-10.002699851989746,0.15888600051403046,0.04002347983629817,25267
400,54,44.75094560750675,-4.395279884338379,4.471720218658447,-9.389200210571289,0.10503000020980835,0.04258702934143478,21936
400,55,45.58059817830422,-4.92234992980957,4.806580066680908,-8.842949867248535,0.08257950097322464,0.04551935700174023,25446
400,56,46.41031054330951,-5.4556498527526855,5.229290008544922,-8.368260383605957,0.06822519749403,0.048699177921298714,5561
400,57,47.24033414847894,-5.964399814605713,5.739439964294434,-7.956120014190674,0.07433620095252991,0.05011766228969433,18409
400,58,48.070785539048465,-6.417180061340332,6.325660228729248,-7.580639839172363,0.10678499937057495,0.0492154692037745,16649
400,59,48.901081999279945,-6.779079914093018,6.968080043792725,-7.198910236358643,0.14269399642944336,0.04703550021086209,16669
400,60,49.73007847402373,-7.023449897766113,7.6262898445129395,-6.7581400871276855,0.22139999270439148,0.048458089311637774,16336
400,61,50.55671694290715,-7.129039764404297,8.242300033569336,-6.2171101570129395,0.2952609956264496,0.05871671444807333,23070
400,62,51.38176675730037,-7.082119941711426,8.74114990234375,-5.561629772186279,0.44508999586105347,0.06268680446702436,1399
400,63,52.2068236909539,-6.885499954223633,9.0414400100708,-4.818739891052246,0.6203669905662537,0.06944708765220751,20715
400,64,53.03210960155918,-6.559800148010254,9.067230224609375,-4.060880184173584,0.7028390169143677,0.07425546492294303,21615
400,65,53.855849060313105,-6.163269996643066,8.8443603515625,-3.374119997024536,0.6850939989089966,0.06879449158977867,5136
400,66,54.67945919421201,-5.737840175628662,8.378499984741211,-2.844670057296753,0.5900369882583618,0.05601070190725462,16466
400,67,55.50499881388654,-5.344009876251221,7.710760116577148,-2.560879945755005,0.42013999819755554,0.048929825100898,15486
400,68,56.33163964012374,-5.017640113830566,6.955719947814941,-2.478830099105835,0.3239099979400635,0.04642107696463981,27147
